id,category,qualityLevel,mentor,friendlyDirectStratum,assetPath,visualSeed
owned-logo-001,logo,strong,true,true,evals/reviews/assets/logo/001.webp,logo-1
owned-logo-002,logo,strong,true,false,evals/reviews/assets/logo/002.webp,logo-2
owned-logo-003,logo,strong,true,false,evals/reviews/assets/logo/003.webp,logo-3
owned-logo-004,logo,mixed,true,true,evals/reviews/assets/logo/004.webp,logo-4
owned-logo-005,logo,mixed,true,false,evals/reviews/assets/logo/005.webp,logo-5
owned-logo-006,logo,mixed,true,false,evals/reviews/assets/logo/006.webp,logo-6
owned-logo-007,logo,mixed,true,false,evals/reviews/assets/logo/007.webp,logo-7
owned-logo-008,logo,weak-ambiguous,true,true,evals/reviews/assets/logo/008.webp,logo-8
owned-logo-009,logo,weak-ambiguous,true,false,evals/reviews/assets/logo/009.webp,logo-9
owned-logo-010,logo,weak-ambiguous,true,false,evals/reviews/assets/logo/010.webp,logo-10
owned-poster-001,poster,strong,true,true,evals/reviews/assets/poster/001.webp,poster-1
owned-poster-002,poster,strong,true,false,evals/reviews/assets/poster/002.webp,poster-2
owned-poster-003,poster,strong,true,false,evals/reviews/assets/poster/003.webp,poster-3
owned-poster-004,poster,mixed,true,true,evals/reviews/assets/poster/004.webp,poster-4
owned-poster-005,poster,mixed,true,false,evals/reviews/assets/poster/005.webp,poster-5
owned-poster-006,poster,mixed,true,false,evals/reviews/assets/poster/006.webp,poster-6
owned-poster-007,poster,mixed,true,false,evals/reviews/assets/poster/007.webp,poster-7
owned-poster-008,poster,weak-ambiguous,true,true,evals/reviews/assets/poster/008.webp,poster-8
owned-poster-009,poster,weak-ambiguous,true,false,evals/reviews/assets/poster/009.webp,poster-9
owned-poster-010,poster,weak-ambiguous,true,false,evals/reviews/assets/poster/010.webp,poster-10
owned-social-001,social,strong,true,true,evals/reviews/assets/social/001.webp,social-1
owned-social-002,social,strong,true,false,evals/reviews/assets/social/002.webp,social-2
owned-social-003,social,strong,true,false,evals/reviews/assets/social/003.webp,social-3
owned-social-004,social,mixed,true,true,evals/reviews/assets/social/004.webp,social-4
owned-social-005,social,mixed,true,false,evals/reviews/assets/social/005.webp,social-5
owned-social-006,social,mixed,true,false,evals/reviews/assets/social/006.webp,social-6
owned-social-007,social,mixed,true,false,evals/reviews/assets/social/007.webp,social-7
owned-social-008,social,weak-ambiguous,true,true,evals/reviews/assets/social/008.webp,social-8
owned-social-009,social,weak-ambiguous,true,false,evals/reviews/assets/social/009.webp,social-9
owned-social-010,social,weak-ambiguous,true,false,evals/reviews/assets/social/010.webp,social-10
owned-ui-002,ui,strong,true,false,evals/reviews/assets/ui/002.webp,ui-2
owned-ui-003,ui,strong,true,false,evals/reviews/assets/ui/003.webp,ui-3
owned-ui-004,ui,mixed,true,true,evals/reviews/assets/ui/004.webp,ui-4
owned-ui-005,ui,mixed,true,false,evals/reviews/assets/ui/005.webp,ui-5
owned-ui-006,ui,mixed,true,false,evals/reviews/assets/ui/006.webp,ui-6
owned-ui-007,ui,mixed,true,false,evals/reviews/assets/ui/007.webp,ui-7
owned-ui-008,ui,weak-ambiguous,true,true,evals/reviews/assets/ui/008.webp,ui-8
owned-ui-009,ui,weak-ambiguous,true,false,evals/reviews/assets/ui/009.webp,ui-9
owned-ui-010,ui,weak-ambiguous,true,false,evals/reviews/assets/ui/010.webp,ui-10
owned-website-003,website,strong,true,true,evals/reviews/assets/website/003.webp,website-3
owned-website-004,website,strong,true,false,evals/reviews/assets/website/004.webp,website-4
owned-website-005,website,strong,true,false,evals/reviews/assets/website/005.webp,website-5
owned-website-006,website,mixed,true,false,evals/reviews/assets/website/006.webp,website-6
owned-website-007,website,mixed,true,false,evals/reviews/assets/website/007.webp,website-7
owned-website-008,website,mixed,true,false,evals/reviews/assets/website/008.webp,website-8
owned-website-009,website,weak-ambiguous,true,false,evals/reviews/assets/website/009.webp,website-9
owned-website-010,website,weak-ambiguous,true,false,evals/reviews/assets/website/010.webp,website-10
owned-book-cover-001,book-cover,strong,true,true,evals/reviews/assets/book-cover/001.webp,book-cover-1
owned-book-cover-002,book-cover,strong,true,false,evals/reviews/assets/book-cover/002.webp,book-cover-2
owned-book-cover-003,book-cover,strong,true,false,evals/reviews/assets/book-cover/003.webp,book-cover-3
owned-book-cover-004,book-cover,mixed,true,true,evals/reviews/assets/book-cover/004.webp,book-cover-4
owned-book-cover-005,book-cover,mixed,true,false,evals/reviews/assets/book-cover/005.webp,book-cover-5
owned-book-cover-006,book-cover,mixed,true,false,evals/reviews/assets/book-cover/006.webp,book-cover-6
owned-book-cover-007,book-cover,mixed,true,false,evals/reviews/assets/book-cover/007.webp,book-cover-7
owned-book-cover-008,book-cover,weak-ambiguous,true,true,evals/reviews/assets/book-cover/008.webp,book-cover-8
owned-book-cover-009,book-cover,weak-ambiguous,true,false,evals/reviews/assets/book-cover/009.webp,book-cover-9
owned-book-cover-010,book-cover,weak-ambiguous,true,false,evals/reviews/assets/book-cover/010.webp,book-cover-10
owned-packaging-001,packaging,strong,true,true,evals/reviews/assets/packaging/001.webp,packaging-1
owned-packaging-002,packaging,strong,true,false,evals/reviews/assets/packaging/002.webp,packaging-2
owned-packaging-003,packaging,strong,true,false,evals/reviews/assets/packaging/003.webp,packaging-3
owned-packaging-004,packaging,mixed,true,true,evals/reviews/assets/packaging/004.webp,packaging-4
owned-packaging-005,packaging,mixed,true,false,evals/reviews/assets/packaging/005.webp,packaging-5
owned-packaging-006,packaging,mixed,true,false,evals/reviews/assets/packaging/006.webp,packaging-6
owned-packaging-007,packaging,mixed,true,false,evals/reviews/assets/packaging/007.webp,packaging-7
owned-packaging-008,packaging,weak-ambiguous,true,true,evals/reviews/assets/packaging/008.webp,packaging-8
owned-packaging-009,packaging,weak-ambiguous,true,false,evals/reviews/assets/packaging/009.webp,packaging-9
owned-packaging-010,packaging,weak-ambiguous,true,false,evals/reviews/assets/packaging/010.webp,packaging-10
owned-other-001,other,strong,true,true,evals/reviews/assets/other/001.webp,other-1
owned-other-002,other,strong,true,false,evals/reviews/assets/other/002.webp,other-2
owned-other-003,other,strong,true,false,evals/reviews/assets/other/003.webp,other-3
owned-other-004,other,mixed,true,true,evals/reviews/assets/other/004.webp,other-4
owned-other-005,other,mixed,true,false,evals/reviews/assets/other/005.webp,other-5
owned-other-006,other,mixed,true,false,evals/reviews/assets/other/006.webp,other-6
owned-other-007,other,mixed,true,false,evals/reviews/assets/other/007.webp,other-7
owned-other-008,other,weak-ambiguous,true,true,evals/reviews/assets/other/008.webp,other-8
owned-other-009,other,weak-ambiguous,true,false,evals/reviews/assets/other/009.webp,other-9
owned-other-010,other,weak-ambiguous,true,false,evals/reviews/assets/other/010.webp,other-10
